admin,year,forest loss by admin,conflict event id,event type,subevent type,actor1,assoc_actor_1,actor2,assoc_actor_2,latitude,longitude,fatalities
Baja California,2015,235.39254738650945,,,,,,,,,,
Campeche,2015,41312.40129031874,,,,,,,,,,
Chiapas,2015,32091.30204882616,,,,,,,,,,
Chihuahua,2015,216.1706165563292,,,,,,,,,,
Coahuila de Zaragoza,2015,58.09347341198678,,,,,,,,,,
Colima,2015,253.2077068853939,,,,,,,,,,
Ciudad de Mexico,2015,0.6546516352756075,,,,,,,,,,
Durango,2015,742.5478670292806,,,,,,,,,,
Guanajuato,2015,18.583291291816405,,,,,,,,,,
Guerrero,2015,7756.3958154952,,,,,,,,,,
Hidalgo,2015,1791.5085700000636,,,,,,,,,,
Jalisco,2015,2225.9190255244716,,,,,,,,,,
Michoacan de Ocampo,2015,5135.89431760155,,,,,,,,,,
Morelos,2015,17.420697006712242,,,,,,,,,,
Estado de Mexico,2015,219.5330926349956,,,,,,,,,,
Nayarit,2015,1411.2644116788936,,,,,,,,,,
Nuevo Leon,2015,979.9266058617384,,,,,,,,,,
Oaxaca,2015,13858.686564721933,,,,,,,,,,
Puebla,2015,3026.59353117014,,,,,,,,,,
Queretaro,2015,29.673232470119355,,,,,,,,,,
Quintana Roo,2015,37303.26813338589,,,,,,,,,,
San Luis Potosi,2015,2099.856192294911,,,,,,,,,,
Sinaloa,2015,966.3780331598232,,,,,,,,,,
Sonora,2015,41.16708092432944,,,,,,,,,,
Tabasco,2015,7272.5762803962225,,,,,,,,,,
Tamaulipas,2015,2193.736027392378,,,,,,,,,,
Tlaxcala,2015,21.76569651778103,,,,,,,,,,
Veracruz,2015,16834.19111059801,,,,,,,,,,
Yucatan,2015,19535.98339920763,,,,,,,,,,
Zacatecas,2015,0.789444479140625,,,,,,,,,,
Baja California,2016,31.568308227862417,,,,,,,,,,
Campeche,2016,56423.868244469726,,,,,,,,,,
Chiapas,2016,68235.51498191437,,,,,,,,,,
Chihuahua,2016,1179.573272659628,,,,,,,,,,
Coahuila de Zaragoza,2016,71.46024912344942,,,,,,,,,,
Colima,2016,405.78867818178503,,,,,,,,,,
Ciudad de Mexico,2016,5.312085558606771,,,,,,,,,,
Durango,2016,1121.7253210882805,,,,,,,,,,
Guanajuato,2016,33.223546058459206,,,,,,,,,,
Guerrero,2016,10348.462862272641,,,,,,,,,,
Hidalgo,2016,3114.209739837888,,,,,,,,,,
Jalisco,2016,3746.2420718400977,,,,,,,,,,
Michoacan de Ocampo,2016,7390.552432480086,,,,,,,,,,
Morelos,2016,27.556774434614795,,,,,,,,,,
Estado de Mexico,2016,443.8142782316025,,,,,,,,,,
Nayarit,2016,1563.0734199794704,,,,,,,,,,
Nuevo Leon,2016,1615.356986514858,,,,,,,,,,
Oaxaca,2016,26191.392276012022,,,,,,,,,,
Puebla,2016,4943.850715950664,,,,,,,,,,
Queretaro,2016,170.67796593999472,,,,,,,,,,
Quintana Roo,2016,18124.090132011075,,,,,,,,,,
San Luis Potosi,2016,3418.5145854490265,,,,,,,,,,
Sinaloa,2016,1491.7410448207117,,,,,,,,,,
Sonora,2016,90.91837017375869,,,,,,,,,,
Tabasco,2016,10895.912505318933,,,,,,,,,,
Tamaulipas,2016,4826.980070850224,,,,,,,,,,
Tlaxcala,2016,15.320107840700953,,,,,,,,,,
Veracruz,2016,23843.76046492268,,,,,,,,,,
Yucatan,2016,24411.62064666678,,,,,,,,,,
Zacatecas,2016,0.4999206912402344,,,,,,,,,,
Aguascalientes,2017,0.071586446,,,,,,,,,,
Baja California,2017,320.4747971647856,,,,,,,,,,
Campeche,2017,70695.70360988035,,,,,,,,,,
Chiapas,2017,50759.164313700574,,,,,,,,,,
Chihuahua,2017,1989.9869481346193,,,,,,,,,,
Coahuila de Zaragoza,2017,42.507775596765406,,,,,,,,,,
Colima,2017,452.7209037657517,,,,,,,,,,
Ciudad de Mexico,2017,1.9646893576443143,,,,,,,,,,
Durango,2017,1396.9980341882033,,,,,,,,,,
Guanajuato,2017,36.30951639441514,,,,,,,,,,
Guerrero,2017,8180.658414558725,,,,,,,,,,
Hidalgo,2017,3491.3506725623038,,,,,,,,,,
Jalisco,2017,4202.929831804155,,,,,,,,,,
Michoacan de Ocampo,2017,5925.523779983016,,,,,,,,,,
Morelos,2017,51.596913647606335,,,,,,,,,,
Estado de Mexico,2017,622.7991663697538,,,,,,,,,,
Nayarit,2017,1906.8996818575904,,,,,,,,,,
Nuevo Leon,2017,1621.3786411556318,,,,,,,,,,
Oaxaca,2017,30964.289349757044,,,,,,,,,,
Puebla,2017,4054.9411197271047,,,,,,,,,,
Queretaro,2017,104.08266942757922,,,,,,,,,,
Quintana Roo,2017,35511.37034974582,,,,,,,,,,
San Luis Potosi,2017,4856.515263918891,,,,,,,,,,
Sinaloa,2017,837.9002854125565,,,,,,,,,,
Sonora,2017,681.0891210528804,,,,,,,,,,
Tabasco,2017,13946.278448018784,,,,,,,,,,
Tamaulipas,2017,5822.830794636537,,,,,,,,,,
Tlaxcala,2017,50.29594372161135,,,,,,,,,,
Veracruz,2017,25015.58061104373,,,,,,,,,,
Yucatan,2017,25242.252405194336,,,,,,,,,,
Zacatecas,2017,1.0724212394357642,,,,,,,,,,
Baja California,2018,1035.1329422338654,MEX38974,Battles,Armed clash,Sinaloa Cartel,,Police Forces of Mexico (2018-),,32.5325,-117.019,3.0
Baja California,2018,1035.1329422338654,MEX38973,Battles,Armed clash,Unidentified Armed Group (Mexico),,Police Forces of Mexico (2018-),,32.5325,-117.019,0.0
Baja California,2018,1035.1329422338654,MEX38918,Battles,Armed clash,Unidentified Armed Group (Mexico),,Police Forces of Mexico (2018-),,32.5325,-117.019,0.0
Baja California,2018,1035.1329422338654,MEX38820,Battles,Armed clash,Unidentified Armed Group (Mexico),,Police Forces of Mexico (2018-),,32.5325,-117.019,0.0
