driver,year,forest loss by driver,Football Field Equivalents
Unknown,2019,795.0911022051786,1.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Commodity driven deforestation,2021,43255.44620140089,60.0
Urbanization,2015,862.3377471697414,1.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Commodity driven deforestation,2017,76080.39655271005,106.0
Urbanization,2018,1014.5966359361436,1.0
Commodity driven deforestation,2020,72552.9147833523,101.0
Commodity driven deforestation,2020,72552.9147833523,101.0
Commodity driven deforestation,2020,72552.9147833523,101.0
Commodity driven deforestation,2020,72552.9147833523,101.0
Commodity driven deforestation,2020,72552.9147833523,101.0
Commodity driven deforestation,2020,72552.9147833523,101.0
Commodity driven deforestation,2020,72552.9147833523,101.0
